Time;SiteName;ParcelName;PointID;GreenCanopyCover [%];GDD [°C];X;Y;Phenology [BBCH];GLAI [m2/m2];DryBiomass [kg/ha];DAS [d]
11.05.2022 15:06;SwissFutureFarm;Altkloster;2;86.79724799;1071.9;2711063.639;1259936.022;32;4.01;5492.307692;212
08.06.2022 09:30;SwissFutureFarm;Altkloster;2;67.72181507;1544.5;2711064.288;1259937.116;61;5.91;13957.14286;240
15.06.2022 09:45;SwissFutureFarm;Altkloster;2;54.81602547;1667.4;2711066.213;1259929.509;71;6.12;;247
19.05.2022 09:52;SwissFutureFarm;Altkloster;2;79.01148541;1219.7;2711061.694;1259943.364;39;5.96;7535.714286;220
17.03.2022 18:08;SwissFutureFarm;Altkloster;3;14.0744747;571.8;2710977.15;1259925.679;23;0.737232722;546.6666667;157
17.03.2022 18:08;SwissFutureFarm;Altkloster;3;14.0744747;571.8;2710977.15;1259925.679;23;0.737232722;546.6666667;157
12.04.2022 10:57;SwissFutureFarm;Altkloster;3;41.84232484;751.1;2710981.302;1259917.554;31;0.287232413;932.1428571;183
27.04.2022 15:46;SwissFutureFarm;Altkloster;3;86.78061403;898;2710985.621;1259917.052;32;;;198
25.05.2022 10:19;SwissFutureFarm;Altkloster;3;73.75635218;1324;2710984.618;1259909.577;51;4.39;;226
01.06.2022 11:20;SwissFutureFarm;Altkloster;3;76.54911873;1423.1;2710982.235;1259924.739;55;4.2;;233
20.06.2022 10:18;SwissFutureFarm;Altkloster;3;38.68749171;1783.8;2710982.63;1259919.177;71;3.36;;252
11.05.2022 14:58;SwissFutureFarm;Altkloster;3;85.5584227;1071.9;2710990.471;1259917.232;32;2.6;6792.307692;212
08.06.2022 09:35;SwissFutureFarm;Altkloster;3;64.31747876;1544.5;2710990.534;1259915.891;61;6.11;15500;240
15.06.2022 09:50;SwissFutureFarm;Altkloster;3;50.72086162;1667.4;2710985.095;1259921.148;71;4.84;7900;247
19.05.2022 10:15;SwissFutureFarm;Altkloster;3;75.32085529;1219.7;2710983.934;1259903.92;39;5.1;5414.285714;220
17.03.2022 18:29;SwissFutureFarm;Altkloster;5;11.43341064;571.8;2710891.364;1259918.896;23;;;157
12.04.2022 11:28;SwissFutureFarm;Altkloster;5;44.32837718;751.1;2710885.513;1259908.435;31;0.344463185;1150;183
27.04.2022 16:03;SwissFutureFarm;Altkloster;5;88.00693716;898;2710880.721;1259920.332;32;;;198
25.05.2022 10:04;SwissFutureFarm;Altkloster;5;82.07777361;1324;2710879.083;1259919.066;51;4.53;;226
01.06.2022 11:13;SwissFutureFarm;Altkloster;5;74.80695434;1423.1;2710880.485;1259923.18;55;4.57;;233
20.06.2022 10:09;SwissFutureFarm;Altkloster;5;55.33206139;1783.8;2710880.924;1259923.36;71;2.91;;252
11.05.2022 14:51;SwissFutureFarm;Altkloster;5;84.67190589;1071.9;2710884.599;1259915.404;32;2.69;4415.384615;212
